1;1.1.svg;1.1;Железнодорожный переезд со шлагбаумом;"Предупреждает о приближении к железнодорожному переезду, оборудованному шлагбаумом. Повторяется вне населённых пунктов на расстоянии от 20 до 50 метров до начала опасного участка дороги."
2;1.2.svg;1.2;Железнодорожный переезд без шлагбаума;"Предупреждает о приближении к железнодорожному переезду, не оборудованному шлагбаумом. Повторяется вне населённых пунктов на расстоянии от 20 до 50 метров до начала опасного участка дороги."
3;1.3.1.svg;1.3.1;Однопутная железная дорога;Предупреждение о переезде через железную дорогу с одним путём. Устанавливается непосредственно перед железнодорожным переездом.
4;1.3.2.svg;1.3.2;Многопутная железная дорога;Предупреждение о переезде через железную дорогу с двумя и более путями. Устанавливается непосредственно перед железнодорожным переездом.
5;1.4.1.svg;1.4.1;Приближение к железнодорожному переезду;Дополнительное предупреждение о приближении к железнодорожному переезду вне населённых пунктов. Устанавливается на правой[6] стороне дороги за 150—300 метров.
6;1.4.2.svg;1.4.2;Приближение к железнодорожному переезду;Дополнительное предупреждение о приближении к железнодорожному переезду вне населённых пунктов. Устанавливается на правой[6] стороне дороги посередине между знаками 1.4.1 и 1.4.3.
7;1.4.3.svg;1.4.3;Приближение к железнодорожному переезду;Дополнительное предупреждение о приближении к железнодорожному переезду вне населённых пунктов. Устанавливается на правой[6] стороне дороги за 20—50 метров.
8;1.4.4.svg;1.4.4;Приближение к железнодорожному переезду;"Дополнительное предупреждение о приближении к железнодорожному переезду вне населённых пунктов. Устанавливается на левой[6] стороне дороги, имеющей 4 и более полосы, напротив знака 1.4.1."
9;1.4.5.svg;1.4.5;Приближение к железнодорожному переезду;"Дополнительное предупреждение о приближении к железнодорожному переезду вне населённых пунктов. Устанавливается на левой[6] стороне дороги, имеющей 4 и более полосы, напротив знака 1.4.2."
10;1.4.6.svg;1.4.6;Приближение к железнодорожному переезду;"Дополнительное предупреждение о приближении к железнодорожному переезду вне населённых пунктов. Устанавливается на левой[6] стороне дороги, имеющей 4 и более полосы, напротив знака 1.4.3."
11;1.5.svg;1.5;Пересечение с трамвайной линией;"Предупреждает о приближении к пересечению с трамвайными путями вне перекрёстка или перед перекрёстком при ограниченной видимости трамвайных путей (менее 50 м). Приближаясь к такому пересечению, водитель должен быть особо внимателен, так как в большинстве случаев трамвай имеет преимущественное право на движение, то есть водитель должен уступить дорогу трамваю."
12;1.6.svg;1.6;Конец дороги с усовершенствованным покрытием[7];Предупреждает о приближении к переходу дороги с усовершенствованным покрытием в гравийную или грунтовую дорогу.
13;1.7.svg;1.7;Пересечение с круговым движением;"Предупреждает о приближении к перекрёстку, на котором организовано круговое движение."
14;1.8.svg;1.8;Светофорное регулирование;"Предупреждает о приближении к перекрёстку, пешеходному переходу или участку дороги, движение на которых регулируется светофором."
15;1.9.svg;1.9;Разводной мост или паромная переправа;Предупреждает о приближении к разводному мосту или паромной переправе. Повторяется вне населённых пунктов на расстоянии от 20 до 50 метров до начала опасного участка дороги.
16;1.10.svg;1.10;Выезд на набережную;"Предупреждает о выезде на набережную, берег водоёма, где имеется опасность съезда транспортного средства в воду. Повторяется вне населённых пунктов на расстоянии от 20 до 50 метров до начала опасного участка дороги."
17;1.11.1.svg;1.11.1;Опасный поворот;"Предупреждает о закруглении дороги малого радиуса или с ограниченной обзорностью направо. Водитель должен помнить, что на таких участках запрещены такие манёвры как обгон, разворот и движение задним ходом."
18;1.11.2.svg;1.11.2;Опасный поворот;"Предупреждает о закруглении дороги малого радиуса или с ограниченной обзорностью налево. Водитель должен помнить, что на таких участках запрещены такие манёвры как обгон, разворот и движение задним ходом."
19;1.12.1.svg;1.12.1;Опасные повороты;"Предупреждает о приближении к участку дороги с двумя и более опасными поворотами, следующими друг за другом, первый поворот направо. При трёх и более поворотах применяется с табличкой 7.7, а также может применяться с табличкой 7.2.1. Водитель должен помнить, что на таких участках запрещены такие манёвры как обгон, разворот и движение задним ходом."
20;1.12.2.svg;1.12.2;Опасные повороты;"Предупреждает о приближении к участку дороги с двумя и более опасными поворотами, следующими друг за другом, первый поворот налево. При трёх и более поворотах применяется с табличкой 7.7, а также может применяться с табличкой 7.2.1. Водитель должен помнить, что на таких участках запрещены такие манёвры как обгон, разворот и движение задним ходом."
21;1.13.svg;1.13;Крутой спуск;"Цифрами указывается уклон в процентах. Может устанавливаться без таблички 7.1.1 непосредственно перед началом спуска, если спуски и подъёмы следуют один за другим. При наличии препятствия для дорожного движения водитель, движущийся на спуск, должен уступить дорогу[8]."
22;1.14.svg;1.14;Крутой подъём;"Цифрами указывается уклон в процентах. Может устанавливаться без таблички 7.1.1 непосредственно перед началом подъёма, если спуски и подъёмы следуют один за другим. При наличии препятствия для дорожного движения водитель, движущийся на спуск, должен уступить дорогу[8]."
23;1.15.svg;1.15;Скользкая дорога;Предупреждает о приближении к участку дороги с повышенной скользкостью.
24;1.16.1.svg;1.16.1;Искусственная неровность;Предупреждает об участке дороги с установленной искусственной неровностью (неровностями) на проезжей части дороги.
25;1.16.2.svg;1.16.2;Неровная дорога;"Предупреждает об участке дороги с неровностями на проезжей части (волны, наплывы, гребёнка и т. п.)."
26;1.16.3.svg;1.16.3;Неровная дорога;"Предупреждает об участке дороги, имеющем неплавные сопряжения с покрытием дороги в виде наплыва (бугра)."
27;1.16.4.svg;1.16.4;Неровная дорога;"Предупреждает об участке дороги, имеющем повреждения покрытия в виде отдельных выбоин, просадок."
28;1.17.svg;1.17;Выброс щебня;"Предупреждает об участке дороги с усовершенствованным покрытием[7], на котором возможен выброс щебня, гравия из-под колес транспортных средств."
29;1.18.1.svg;1.18.1;Сужение дороги;Сужение с обеих сторон
30;1.18.2.svg;1.18.2;Сужение справа;
31;1.18.3.svg;1.18.3;Сужение слева;
32;1.18.4.svg;1.18.4;Сужение с обеих сторон;
33;1.18.5.svg;1.18.5;Сужение справа;
34;1.18.6.svg;1.18.6;Сужение слева;
35;1.19.1.svg;1.19.1;Двустороннее движение;Начало участка дороги (проезжей части дороги) со встречным движением после участка дороги с односторонним движением.
36;1.19.2.svg;1.19.2;Двустороннее движение;"Начало участка дороги (проезжей части дороги) со встречным движением после участка дороги с односторонним движением. Применяется при проведении дорожных работ, когда временно организуется двустороннее движение на одной из проезжих частей, предназначенной для движения в одном направлении."
37;1.20.svg;1.20;Впереди пешеходный переход;"Предупреждает о приближении к нерегулируемому пешеходному переходу, обозначенному знаками 5.16.1, 5.16.2 и (или) горизонтальной дорожной разметкой 1.14.1, 1.14.2."
38;1.21.svg;1.21;Дети;"Предупреждает о приближении к участку дороги, на котором возможно появление детей с территории детского или иного учреждения (школы, оздоровительного лагеря, больницы и т. п.), прилегающего непосредственно к дороге. Повторяется вне населённых пунктов на расстоянии от 20 до 50 метров до начала опасного участка дороги."
39;1.22.svg;1.22;Пересечение с велосипедной дорожкой;Предупреждает о пересечении велосипедной дорожки с проезжей частью дороги вне перекрёстка.
40;1.23.svg;1.23;Дорожные работы;"Предупреждает об участке дороги, на котором выполняются ремонтные и другие работы. Повторяется вне населённых пунктов на расстоянии от 20 до 50 метров до начала опасного участка дороги. Повторяется также в населённых пунктах непосредственно у начала участка проведения ремонтных и других работ."
41;1.24.svg;1.24;Перегон скота;"Предупреждает о приближении к участку дороги, на котором возможно появление скота."
42;1.25.svg;1.25;Дикие животные;"Предупреждает о приближении к участку дороги, проходящему по территории заповедников (охотничьих хозяйств, лесных массивов и т. п.), на котором возможно появление диких животных."
43;1.26.svg;1.26;Падение камней;"Предупреждает о приближении к участку дороги, на котором возможны обвалы, оползни, падение камней."
44;1.27.svg;1.27;Боковой ветер;"Предупреждает о приближении к участку дороги, на котором возможны сильный боковой ветер или его внезапные порывы."
45;1.28.svg;1.28;Низколетящие самолёты;Предупреждает о приближении к участку дороги вблизи аэродромов либо над которым пролетают самолёты или вертолёты на небольшой высоте.
46;1.29.svg;1.29;Аварийно-опасный участок;"Предупреждает о приближении к участку дороги, на котором часто совершаются дорожно-транспортные происшествия. Знак может сопровождаться одной из табличек 7.22.1—7.22.4, указывающей на вид опасности."
47;1.30.svg;1.30;Прочие опасности;"Предупреждает о приближении к опасному участку дороги, который невозможно обозначить другими предупреждающими знаками."
48;1.31.1.svg;1.31.1;Направление поворота;"Направление движения на повороте дороги малого радиуса с ограниченной обзорностью. (1.31.1, 1.31.2, 1.31.4, 1.31.5)Направление объезда препятствия для дорожного движения на ремонтируемом участке дороги. (1.31.1, 1.31.2)Направление объезда центрального островка на перекрестке с круговым движением. (1.31.1)Направление движения на Т-образном перекрестке, разветвлении дорог. (1.31.1—1.31.3)Направление объезда ремонтируемого участка дороги. (1.31.3)"
49;1.31.2.svg;1.31.2;Направление поворота;
50;1.31.3.svg;1.31.3;Направление поворота;
51;1.31.4.svg;1.31.4;Направление поворота;
52;1.31.5.svg;1.31.5;Направление поворота;
53;1.32.svg;1.32;Опасная обочина;Предупреждает о приближении к участку дороги с заниженной или разрушенной обочиной либо на котором ведутся работы по ремонту обочин.
54;1.33.svg;1.33;Гололедица;"Предупреждает о приближении к участку дороги, на котором возможны снежные заносы либо ледяные или снежно-ледяные образования."
55;1.34.svg;1.34;Затор на дороге;"Предупреждает о приближении к участку дороги, на котором возможно образование заторов."
56;1.35.svg;1.35;Сезонные миграции земноводных;"Предупреждает о приближении к участку дороги, на котором возможны массовые появления земноводных на проезжей части."
57;1.36.svg;1.36;Контроль режима движения;Рекомендательный[9]. Предупреждает о контроле дорожного движения средствами автоматической фотофиксации. Дублируется на разделительной полосе.[9].
58;2.1.svg;2.1;Главная дорога;Предоставляется право преимущественного проезда перекрёстка (пересечения проезжих частей дорог).
59;2.2.svg;2.2;Конец главной дороги;Отменяется право преимущественного проезда перекрёстка (пересечения проезжих частей дорог).
60;2.3.1.svg;2.3.1;Пересечение со второстепенной дорогой;Предупреждает о близости пересечения со второстепенной дорогой. Применяется вне населённых пунктов на расстоянии 150—300 метров до прекрёстка.
61;2.3.2.svg;2.3.2;Примыкание второстепенной дороги;Предупреждает о близости примыкания второстепенной дороги справа. Применяется вне населённых пунктов на расстоянии 150—300 метров до прекрёстка.
62;2.3.3.svg;2.3.3;Примыкание второстепенной дороги;Предупреждает о близости примыкания второстепенной дороги слева. Применяется вне населённых пунктов на расстоянии 150—300 метров до прекрёстка.
63;2.3.4.svg;2.3.4;Пересечение равнозначных дорог;"Приближение к перекрёстку равнозначных дорог. Необходимо уступать дорогу любым транспортным средствам, приближающимся справа, пешеходам и трамваям[13]. Применяется вне населённых пунктов на расстоянии от 150 до 300 метров, а в населённых пунктах — как правило, на расстоянии от 50 до 100 метров до прекрёстка."
64;2.4.svg;2.4;Уступить дорогу;"Необходимо уступить дорогу транспортным средствам движущимся по пересекаемой дороге, а при наличии таблички 7.13 — транспортным средствам, движущимся по главной дороге, а также справа по равнозначной дороге. Знак, установленный на главной дороге, обозначает также конец главной дороги."
65;2.5.svg;2.5;Движение без остановки запрещено;"Запрещается движение без остановки перед «стоп-линией» (знаком 5.33, горизонтальной дорожной разметкой 1.12), а при её отсутствии — перед краем пересекаемой проезжей части дороги. Необходимо уступить дорогу транспортным средствам, движущимся по пересекаемой дороге, а при наличии таблички 7.13 — транспортным средствам, движущимся по главной дороге, а также справа по равнозначной дороге.Знак 2.5 может быть установлен перед железнодорожным переездом. В этом случае, когда движение через переезд не запрещено, водитель должен остановиться перед «стоп-линией» (знаком 5.33, горизонтальной дорожной разметкой 1.12), а при её отсутствии — перед знаком 2.5."
66;2.6.1.svg;2.6.1;Преимущество встречного движения;"Запрещается въезд на участок дороги, если это может затруднить встречное движение. Необходимо уступить дорогу транспортным средствам, находящимся на данном участке дороги или на противоположном подъезде к нему."
67;2.6.2.svg;2.6.2;Преимущество встречного движения;"Запрещается въезд на участок дороги, если это может затруднить встречное движение. Необходимо уступить дорогу транспортным средствам, находящимся на данном участке дороги или на противоположном подъезде к нему."
68;2.7.svg;2.7;Преимущество перед встречным движением;"Участок дороги, при движении по которому водитель пользуется преимуществом по отношению к встречным транспортным средствам."
69;3.1.svg;3.1;Въезд запрещен;Запрещается въезд транспортных средств.Обиходное название знака — «кирпич».
70;3.2.svg;3.2;Движение запрещено;Запрещается движение транспортных средств.
71;3.3.svg;3.3;Движение механических транспортных средств запрещено;Запрещается движение механических транспортных средств.
72;3.4.svg;3.4;Движение грузовых автомобилей запрещено;"Запрещается движение грузовых автомобилей (автопоездов) с технически допустимой общей массой[17] более 3,5 тонны (если на знаке не указана масса) или с фактической массой, превышающей указанную на знаке, а также колёсных тракторов и самоходных машин."
73;3.5.svg;3.5;Движение мотоциклов запрещено;Запрещается движение мотоциклов и мопедов.
74;3.6.svg;3.6;Движение тракторов запрещено;Запрещается движение колёсных тракторов и самоходных машин.
